fraud_name,real_name,negative_name
C.F Industries Holdings,CF Industries Holdings,Gilead. Sciences
C.F Industries Holdings,CF Industries Holdings,Teledyne Technologies
C.F Industries Holdings,CF Industries Holdings,Time Wàrnèr Câble
C.F Industries Holdings,CF Industries Holdings,SùnGard DataSy stems
C.F Industries Holdings,CF Industries Holdings,Wyndham. WorldWide
C.F Industries Holdings,CF Industries Holdings,Legget t & Platt
JaC0bs Engineer1ng Group,Jacobs Engineering Group,Tiffany
JaC0bs Engineer1ng Group,Jacobs Engineering Group,HC C Insurance Holdings
JaC0bs Engineer1ng Group,Jacobs Engineering Group,Carly1e Group
JaC0bs Engineer1ng Group,Jacobs Engineering Group,Precision Càstparts
JaC0bs Engineer1ng Group,Jacobs Engineering Group,TECO Energý
JaC0bs Engineer1ng Group,Jacobs Engineering Group,Me dnax
Nu5tar Energy,NuStar Energy,Thermo Fi sher Scíentific.
Nu5tar Energy,NuStar Energy,Fluór
Nu5tar Energy,NuStar Energy,Nvi.dia
Nu5tar Energy,NuStar Energy,Cèntene
Nu5tar Energy,NuStar Energy,Sabŕe
Nu5tar Energy,NuStar Energy,Bank of New York Mellon C0rp.
QEP Res ources,QEP Resources,Arroω E1ectronics
QEP Res ources,QEP Resources,Amerco
QEP Res ources,QEP Resources,VWR.
QEP Res ources,QEP Resources,Kraft Foods Group
QEP Res ources,QEP Resources,Tenet Healthcare
QEP Res ources,QEP Resources,R.R. Donnel1ey & Sons
Wòrld Fuel. Services,World Fuel Services,Bèm1s
Wòrld Fuel. Services,World Fuel Services,FrontíerCommunications
Wòrld Fuel. Services,World Fuel Services,Adams Resources & Energy
Wòrld Fuel. Services,World Fuel Services,Hýatt Hotèls
Wòrld Fuel. Services,World Fuel Services,Hanèsbrands
Wòrld Fuel. Services,World Fuel Services,Ste ri cycle
salesf0rce.com,salesforce.com,Cliffs. Naturál Resources
salesf0rce.com,salesforce.com,LKQ
salesf0rce.com,salesforce.com,Wyn dham Worldwide
salesf0rce.com,salesforce.com,Tèledyne Techn0logies
salesf0rce.com,salesforce.com,Commercial.Metals
salesf0rce.com,salesforce.com,Gartnèr
Denbury Res ources,Denbury Resources,western Refining
Denbury Res ources,Denbury Resources,Molson Co ors Brewi-ng
Denbury Res ources,Denbury Resources,T1meWarner
Denbury Res ources,Denbury Resources,F1uor
Denbury Res ources,Denbury Resources,H0me Depot
Denbury Res ources,Denbury Resources,NCR
Commèrciál Metals,Commercial Metals,Nucor
Commèrciál Metals,Commercial Metals,Johńson & Johnson
Commèrciál Metals,Commercial Metals,BróadrÍdge Financial Solutions
Commèrciál Metals,Commercial Metals,Broadridge Financial Solutions
Commèrciál Metals,Commercial Metals,Westar Energy
Commèrciál Metals,Commercial Metals,Univiѕion Communications
Wi11iams,Williams,Nortek
Wi11iams,Williams,Com munity Health System.
Wi11iams,Williams,OccidentálPetroleum
Wi11iams,Williams,Spirit AeroSystems Holdings
Wi11iams,Williams,Be5tBuy
Wi11iams,Williams,Lēxmark. Internati0nal
P r i c e S m a r t,PriceSmart,Boeing
P r i c e S m a r t,PriceSmart,LìfePoint Health
P r i c e S m a r t,PriceSmart,ManpowèrGroup
P r i c e S m a r t,PriceSmart,Spr0uts Farmers Market
P r i c e S m a r t,PriceSmart,Smart & Final Stores
P r i c e S m a r t,PriceSmart,Genera1'Mills
RCS Capital.,RCS Capital,Host Hotels & Resorts
RCS Capital.,RCS Capital,A1as ka Air Grouè
RCS Capital.,RCS Capital,C0mcast
RCS Capital.,RCS Capital,Ford Motor
RCS Capital.,RCS Capital,Linkedìn
RCS Capital.,RCS Capital,Genesis Energy
F.MC,FMC,TECO Energy
F.MC,FMC,HD 5upply Holdìngs
F.MC,FMC,Jabil Circuit
F.MC,FMC,Un1fied Grocers
F.MC,FMC,Equifax
F.MC,FMC,Whìrlpool
Perk1nElmer,PerkinElmer,E*Tradè Financial
Perk1nElmer,PerkinElmer,Schnitzer Steel Industries
Perk1nElmer,PerkinElmer,KLA-Teṅcor
Perk1nElmer,PerkinElmer,EP En3rgy
Perk1nElmer,PerkinElmer,USFoo ds
