real_name,positive_names,negative_names
3M,"['3м', '3 M', '3M.']","['IB M', 'lBM', 'FMC', 'IBM', 'EP En3rgy', 'CBR3Group', 'Cran3']"
A-Mark Precious Metals,"['A-Mark Precious Me+als', 'A-Mark Precious Met als', 'A-Màrk Precious Metals']","['Aír Pr0ducts & Chem1cals', 'Air Products & Chemicals', 'A1r Products &Chemicals']"
A. Schulman,"['A. Schulmán', 'A. Schu1man.', 'A. Schu1man']","['A cuityBr ands', 'A.rch Còal', 'A.O. Sm1th', 'Tor chmark', 'A.O. Smith']"
A.O. Smith,"['A.O. Sm1th', 'A. O. Smith', 'Á.O. Smith']","['A. Schulmán', 'ON Semiconductor', 'J.M. Smucker', 'A.O.L', 'A. Schulman', 'ON Sèmiconductor']"
AAR,"['Aa R', 'AA.R', 'A4R']","[""CARTer's"", 'TIAA-CREF', 'TIAA.CREF', 'CA', 'USAA', 'ARAmark']"
ABM Industries,"['AßM Industries', 'ABM Indu5tries', 'ABM Indu\tstries']","['Mòhawk Industries', 'Mohawk Industries', 'PPG Industries']"
ADT,"['A.DT', 'AdT', 'ÀDT']","['DíreCTV', 'AT&Ť', 'ATÀT', 'DirecTV', 'AT&T']"
AECOM,"['ÀECoM', 'AE.COM', 'AEÇOM']","['A.GCO', 'EMC', 'AOŁ', 'E.MC', 'AGCO', 'EmC', 'AOL']"
AES,"['AÈS', 'AE5', 'A E S']","['hSn', 'AE.COM', 'AECOM', 'CA', 'AEÇOM', 'gAp']"
AGCO,"['A.GCO', 'àGCO', 'AGÇO']","['AIG', 'AE.COM', 'AOŁ', 'AOL', 'AECOM', 'COAch']"
AGL Resources,"['AGL ReS0urces', 'AGL Resourcès', 'agl Res0urces']","['EOG Resources', 'Range Resources', 'E0G Resources', 'Targa Resources', 'QEP Resources', 'E O G Resources', 'EOG Re5ources']"
AIG,"['AI.G', 'A1G', 'A I G']","['A.GCO', 'ArRIS Group', 'AGÇO', 'AGCO']"
AK Steel Holding,"['AΚ Steel Holding', 'AK. StéeI. Holding', 'aK Steel Holdíng']","['HD Supply Holdings', 'Tea mHealth Holdings', 'Sears Holdings', 'Sear5 Holdings', 'Team Health Holdings', 'HCA. Holdings']"
AMC Networks,"['A M C Networks', 'AMC Networks.', 'AMC Netw0rks']","['DISH Network', 'D1SH Netw0rk', 'DI5H Network.', 'Juñiper Networks', 'D ISH Network']"
ANN,"['A.NN', ""AN'N"", 'ÅNN']","['NVR', 'SCANa', 'N℣R', 'SCANA', 'NCR', 'CA']"
AOL,"['A.O.L', 'ÁOL', 'AOŁ']","['A.GCO', 'LKQ', 'AGÇO', 'pPL', 'AGCO', 'PPL', 'AEÇOM']"
ARRIS Group,"['ARR1S Group', 'ArRIS Group', 'ARRIS Gr0up']","['HRG Group', 'HRG Gr0up', 'HR G Group', 'hRg Group', 'CIT Group']"
AT&T,"['A T&T', 'ATÀT', 'AT&Ť']","['A.DT', 'ADT', 'ITT', 'AdT', 'I TT']"
Aaron's,"['Aa ron’s', ""Áaron's"", ""Aar0n's""]","['Andersons', ""Brínk's"", ""Br1nk's"", 'Patrèson', 'Andersons.', ""Brink's""]"
AbbVie,"['AbbVie.', 'AbbV1e', 'ÁbbVie']","['Viste0n', 'Albemarlé', 'Hubbell', 'Hubbel·l', 'Visteon']"
Abbott Laboratories,"['AЬbott Labøratories', 'Ab bott Labořatories', 'Abbott Laboratories.']","['Bio-Rad Laboratories', 'F0rest Laboratories', 'Forest Laboratories', 'Forest Lab0rat0ries']"
Abercrombie & Fitch,"['Abèrcrombie & Fitch', 'Abercrombie & Fitch.', 'A bercrombie & F1tch']","['Babcock & Wilcox', 'Ameriprise Financial', 'Babcock & Wi1cox', 'Amèriprise Financiál', 'AmeriPri se Financia1']"
Activision Blizzard,"['Áctivision Bl1zzard', 'Activisi0n Blizzard', 'Ac tivision Bl1zzard']","['Acuity Brand5', 'Eñvision HealthcareHoldings', 'Precision Castparts', 'Precision Càstparts', 'Acuity Brands']"
Acuity Brands,"['Aćuity Brands', 'A cuityBr ands', 'Acuity Brand5']","['1 Brands', 'Yum Brands', 'L Bran ds', 'L Brands']"
Adams Resources & Energy,"['Adams Resources &Enèrgy', 'Adáms Resources & Energy', 'Adams Resources & Enérgy']","['Èversource Energy', 'Eversour ce Energy', 'Eversource Energy']"
Adobe Systems,"['Adobè Syst ems', 'Adobé System5', 'Ad0bé Systems']","['Rýder Sys tem', 'Ryder System', 'Cïsco. Systems', 'DST Systems', 'D5T Systems', 'Císco Systems', 'Cisco Systems']"
Advance Auto Parts,"['Advànce Aut0 Part5', 'advAnce Auto Partš', 'A dvance AutoParts']","['Genuine Parts', 'Són1c Automation.', 'Rockwell Automation', 'Gènuine Parts', 'Avon Products', 'Rockwe11 Automati0n', 'Genuíne Part5']"
Advanced Micro Devices,"['Advancëd Micr0 Devices', 'Advancèd Micro Deviçes', 'ᴀdvanced Mícro Devices']","['Kar Auctìon Services', 'Kar Auction Services', 'Anal0g De vices', 'Anál0g Devices', 'Advance Auto Parts', 'Analog Devices']"
Aetna,"['Ãètna', 'Aetna.', 'Ae tna']","['Amgen', 'Avnet', 'Fastènal.', 'Ciena.', 'Ciena', 'Fàstenal', 'Fastenal']"
Affiliated Managers Group,"['Affiliated. Managers Group', 'Aff1liated Managers Groùp', 'Aƒfiliated Managers Group']","['Ne1man Marcus Group', 'Hartford Financial Services Group', 'Neiman Marcus Group', 'Neiman Marcús Group']"
Aflac,"['Af1ac', 'Afl.ac', 'Aflác']","['Apa che', 'Alco a', 'Alcoa', 'Apache', 'Alcòa', 'Apachè']"
Agilent Technologies,"['Ag1lent Techn0l0gies', 'Agilent Techno logies', 'Agilènt Technolgies']","['Rôper Techn0logies', 'Tèledyne Techn0logies', 'Èxide Technologies', 'Exide Technologies', 'United Technologies', 'Unitèd Technologies', 'Allegheny Technologies']"
Air Products & Chemicals,"['Aír Pr0ducts & Chem1cals', 'Air Prodùcts& Chēmicals', 'A1r Products &Chemicals']","['A-Mark Precious Me+als', 'A-Màrk Precious Metals', 'Alexion Pharmaceuticals', 'A-Mark Precious Metals', 'Avon Products', 'Dow Chemical']"
Airgas,"['Airga.s', 'Aírgas', 'Àirga5']","['Allergan', 'A11ergan', 'Hospira', 'Cigna', 'Cig.na', 'Allergan.']"
Alaska Air Group,"['alaSka Air Group.', 'A1as ka Air Grouè', 'A1á5ka Air Group']","['A ptarGroup', 'áltría Group', 'American Airlines Group', 'Ascena Retail Group', 'Ryland Group', 'AptarGroup', 'ArRIS Group', 'Ascéna Retail Group']"
Albemarle,"['Álbemarle', 'albèmarle', 'Albemarlé']","['Alère', 'Álere', 'Walmart', 'Alere', 'Aleris', 'Caleres']"
Alcoa,"['Alcòa', 'alCoa', 'Alco a']","['Aflac', 'Çoca-Cola', 'Qualcomm', 'Aflác', 'Árch Coa1', 'Arch Coal', 'Afl.ac']"
Alere,"['Álere', 'A1ere', 'Alère']","['Albemarle', 'Terex', 'Ame.ren', 'Ameren', 'Caleres.', 'Apple', 'Caleres', 'Dèere']"
Aleris,"['A1eri5', '4leri5', 'A1eri s']","[""CARTer's"", 'Álere', 'Verizon', 'Amerčò', 'Bemis', 'Alere', 'A1ere']"
Alexion Pharmaceuticals,"['Álexìon Pharmaceut1cals', 'Alex1on. Pharmaceuticals', 'Aĺexion Pharmaceutícal5']","['Regeneron Pharmaceuticals', 'Regeneron. Pharmaceutical5', 'Regenerón Pharmaceuticals', 'Règéneron Pharmaceuticals']"
Alleghany,"['Álleghany', 'A11eghany', 'Alleghány']","['Àllergan', 'Allergan.', 'Allergan', 'A11ergan']"
Allegheny Technologies,"['AllèghenyTech nol ogies', 'Allegheny Technologie5,', 'Állegheny Technologie5']","['Agilent Techno logies', 'Teledyne Technologies', 'Agilent Technologies', 'Agilènt Technolgies']"
Allergan,"['Àllergan', 'Allergan.', 'A11ergan']","['Alleghany', 'Álleghany', 'Alleghány', 'A11eghany', 'Aírgas']"
Alliance Data Systems,"['Al1iance Data Systems', 'Alliance Data Sy5tems', 'Álliance Data Systems']","['SunGard Data Systems', 'Telephone & Data Systems', 'Teleph0ne & Data Systems']"
Alliance Holdings,"['Al1iance Holding5', 'Alliance Ho1dings.', 'Älliance Holdings']","['Si1ganHoldings', 'Hawaiian Holdings', 'Dana Holding', 'Delta Tucker Holdings.', 'Dan aHolding', 'Silgan Holdings', 'Zimmer Holdings.']"
Alliance One International,"['Álliance One Internationa1', 'Alliancé One Internatíonal', 'AlliancéOnè International']","['Par exel International', 'Brinker International', 'Anixter International', 'Lennox International', 'Edison International', 'Cameron International', 'Parexel International']"
Alliant Energy,"['Älliant Energÿ', 'All1ant Energy', 'Al liantEnergy']","['Linn Energy.', 'Atmos Ener gy', 'Xcèl Energy', 'Atmos Energy', 'Xcel Energy', 'Linn Energy', 'Lin nEnergy']"
Allison Transmission Holdings,"['A11ison Transmission Holdings', 'Allison Transmission. Holdings', 'Al1isón Transmission Holdings']","['Quintiles Transnational Holdings', 'Booz Allen Hamilton Holding', 'Quintiles. TransnationalHoldings', 'Alliance Holdings', 'Quińtiles Transnational Hold1ngs']"
Allstate,"['All5tate', 'Allstate.', 'Àllstate']","['Al liantEnergy', 'All1ant Energy', 'Alliant Energy', 'Älliant Energÿ']"
Ally Financial,"['Ally Financiål', 'Al1y Fìnancial', 'A11y Financial']","['Voya Financ ial', 'V0ya Financial', 'Voya Financial']"
Alpha Natural Resources,"['A1pha Natural Resources', 'Alpha Natura1 Re5ources', 'AlpháNatural Resources']","['Cliffs Natural Resources', 'Pioneer Natural Resources', 'Cl1ffs Naturai Resources']"
Altria Group,"['áltría Group', 'Åltria Gr0up', 'Altria Gróup']","['PulteGroup', 'TriNet Group', 'Ryland Group', 'AptaðGroup', 'TriNet Gr0up', 'AptarGroup', 'AptårGrøup']"
AmTrust Financial Services,"['AmTrust Financiãl Services', 'ÁmTrust Financial Services', 'AmTrust Financial Servicès']","['Discover Financial Servicès', 'Hartford Financial Services Group', 'Discover Financial Services']"
