anchor_name,positive_name,negative_names
3M,3м,"['Cran3', 'EP En3rgy', 'CBR3Group']"
3M,3 M,"['lBM', 'IBM', 'IB M']"
3M,3M.,"['lBM', 'IBM', 'FMC']"
A-Mark Precious Metals,A-Mark Precious Me+als,"['A1r Products &Chemicals', 'Air Products & Chemicals', 'Aír Pr0ducts & Chem1cals']"
A-Mark Precious Metals,A-Mark Precious Met als,"['A1r Products &Chemicals', 'Air Products & Chemicals', 'Aír Pr0ducts & Chem1cals']"
A-Mark Precious Metals,A-Màrk Precious Metals,"['A1r Products &Chemicals', 'Air Products & Chemicals', 'Aír Pr0ducts & Chem1cals']"
A. Schulman,A. Schulmán,"['A.rch Còal', 'A.O. Smith', 'A.O. Sm1th']"
A. Schulman,A. Schu1man.,"['A cuityBr ands', 'Tor chmark', 'A.rch Còal']"
A. Schulman,A. Schu1man,"['A cuityBr ands', 'Tor chmark', 'A.rch Còal']"
A.O. Smith,A.O. Sm1th,"['A.O.L', 'A. Schulmán', 'A. Schulman']"
A.O. Smith,A. O. Smith,"['A.O.L', 'A. Schulmán', 'A. Schulman']"
A.O. Smith,Á.O. Smith,"['ON Sèmiconductor', 'ON Semiconductor', 'J.M. Smucker']"
AAR,Aa R,"['ARAmark', ""CARTer's"", 'CA']"
AAR,AA.R,"['USAA', 'TIAA.CREF', 'TIAA-CREF']"
AAR,A4R,"['CA', 'ARAmark', ""CARTer's""]"
ABM Industries,AßM Industries,"['PPG Industries', 'Mòhawk Industries', 'Mohawk Industries']"
ABM Industries,ABM Indu5tries,"['PPG Industries', 'Mòhawk Industries', 'Mohawk Industries']"
ABM Industries,ABM Indu	stries,"['PPG Industries', 'Mòhawk Industries', 'Mohawk Industries']"
ADT,A.DT,"['ATÀT', 'AT&Ť', 'AT&T']"
ADT,AdT,"['ATÀT', 'AT&Ť', 'AT&T']"
ADT,ÀDT,"['ATÀT', 'DíreCTV', 'DirecTV']"
AECOM,ÀECoM,"['EmC', 'EMC', 'E.MC']"
AECOM,AE.COM,"['AGCO', 'A.GCO', 'EmC']"
AECOM,AEÇOM,"['EMC', 'AOŁ', 'AOL']"
AES,AÈS,"['CA', 'hSn', 'gAp']"
AES,AE5,"['AEÇOM', 'AECOM', 'AE.COM']"
AES,A E S,"['AEÇOM', 'AECOM', 'AE.COM']"
AGCO,A.GCO,"['AECOM', 'AE.COM', 'AOŁ']"
AGCO,àGCO,"['COAch', 'AECOM', 'AE.COM']"
AGCO,AGÇO,"['AOŁ', 'AOL', 'AIG']"
AGL Resources,AGL ReS0urces,"['EOG Resources', 'EOG Re5ources', 'E0G Resources']"
AGL Resources,AGL Resourcès,"['EOG Resources', 'E0G Resources', 'E O G Resources']"
AGL Resources,agl Res0urces,"['Targa Resources', 'Range Resources', 'QEP Resources']"
AIG,AI.G,"['AGÇO', 'AGCO', 'A.GCO']"
AIG,A1G,"['AGÇO', 'AGCO', 'A.GCO']"
AIG,A I G,"['AGÇO', 'AGCO', 'ArRIS Group']"
AK Steel Holding,AΚ Steel Holding,"['Sears Holdings', 'Sear5 Holdings', 'HD Supply Holdings']"
AK Steel Holding,AK. StéeI. Holding,"['Sears Holdings', 'Sear5 Holdings', 'HCA. Holdings']"
AK Steel Holding,aK Steel Holdíng,"['Team Health Holdings', 'Tea mHealth Holdings', 'Sears Holdings']"
AMC Networks,A M C Networks,"['D ISH Network', 'DISH Network', 'Juñiper Networks']"
AMC Networks,AMC Networks.,"['DISH Network', 'DI5H Network.', 'Juñiper Networks']"
AMC Networks,AMC Netw0rks,"['DISH Network', 'D1SH Netw0rk', 'Juñiper Networks']"
ANN,A.NN,"['SCANa', 'SCANA', 'CA']"
ANN,AN'N,"['SCANa', 'SCANA', 'CA']"
ANN,ÅNN,"['N℣R', 'NVR', 'NCR']"
AOL,A.O.L,"['A.GCO', 'AGÇO', 'AGCO']"
AOL,ÁOL,"['pPL', 'PPL', 'LKQ']"
